player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Nabil Aberdin,Getafe,2024-25,MF,21.0,263,0,0,2,1,2,6,0
Nabil Fekir,Betis,2024-25,MF,31.0,180,0,1,7,6,0,3,0
Nacho Vidal,Osasuna,2024-25,DF,29.0,124,0,0,0,0,2,2,0
Naci Ünüvar,Espanyol,2024-25,MF,21.0,31,0,0,1,1,0,2,0
Nahuel Molina,Atlético Madrid,2024-25,DF,26.0,1590,0,3,9,13,15,44,13
Nahuel Tenaglia,Alavés,2024-25,DF,28.0,2922,2,1,27,19,17,96,47
Natan,Betis,2024-25,DF,23.0,2175,1,1,9,5,2,35,28
Nayef Aguerd,Real Sociedad,2024-25,DF,28.0,1760,0,0,15,5,5,30,13
Nemanja Gudelj,Sevilla,2024-25,MF,32.0,2493,1,1,22,14,6,42,27
Nico Williams,Athletic Club,2024-25,FW,22.0,1996,5,5,54,40,68,28,7
Nicolas Pépé,Villarreal,2024-25,FW,29.0,1500,3,6,38,33,27,22,5
Nicolás Serrano,Athletic Club,2024-25,FW,21.0,112,0,0,5,1,3,1,1
Nobel Mendy,Betis,2024-25,DF,19.0,108,0,0,0,0,0,0,4
Oihan Sancet,Athletic Club,2024-25,MF,24.0,1620,15,1,47,21,24,13,5
Olasagasti,Real Sociedad,2024-25,MF,23.0,857,1,1,13,6,3,21,15
Oliver McBurnie,Las Palmas,2024-25,FW,28.0,1837,3,6,32,24,16,15,6
Omar Alderete,Getafe,2024-25,DF,27.0,2971,1,0,38,11,18,43,40
Omar El Hilali,Espanyol,2024-25,DF,20.0,3153,0,2,2,8,17,111,46
Omar Mascarell,Mallorca,2024-25,MF,31.0,1992,1,0,9,3,10,27,49
Oriol Romeu,Girona,2024-25,MF,32.0,1356,0,0,5,8,4,38,12
Orri Steinn Óskarsson,Real Sociedad,2024-25,FW,19.0,944,3,0,19,5,2,6,2
Pablo Barrios,Atlético Madrid,2024-25,MF,21.0,2330,1,4,29,26,25,46,34
Pablo Durán,Celta Vigo,2024-25,FW,23.0,1394,4,4,26,17,12,17,8
Pablo Fornals,Betis,2024-25,MF,28.0,1827,2,0,23,36,8,21,23
Pablo Garcia,Betis,2024-25,FW,17.0,38,0,0,0,0,1,0,0
